Nombre	tipo	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax	Rmin	Rmax	THETAmin	THETAmax
C25-PLM-4-3-10	cartesianas	-36065	-32075	-14200	-5675	5200	9850	0	0	0	0
C25-PLM-4-3-11	cartesianas	-38767	-36215	-17450	17448	5200	9850	0	0	0	0
C25-PLM-4-3-12	cartesianas	-40690	-36102	19358	23167	5200	9850	0	0	0	0
C25-PLM-4-3-13	cartesianas	-40690	-36102	17448	19358	5200	9850	0	0	0	0
C25-PLM-4-3-14	cartesianas	-44250	-38635	9275	14198	5200	9850	0	0	0	0
C25-PLM-4-3-15	cartesianas	-46402	-38635	4525	9125	5200	9850	0	0	0	0
C25-PLM-4-3-16	cartesianas	-46402	-38635	-9050	-4525	5200	9850	0	0	0	0
C25-PLM-4-3-17	cartesianas	-44250	-38917	-14200	-9200	5260	9850	0	0	0	0
C25-PLM-4-3-18	cartesianas	-40690	-36100	-19355	-17450	5200	9850	0	0	0	0
C25-PLM-4-3-19	cartesianas	-40690	-36100	-23165	-19355	5200	9850	0	0	0	0
C25-PLM-4-3-21	cartesianas	-36065	-33677	5675	7675	5200	9850	0	0	0	0
C25-PLM-4-4-01	cartesianas	-45263.117	-38690	14450	17200	10000	14550	0	0	0	0
C25-PLM-4-4-02	cartesianas	-45265.117	-38686	-17200	-14450	10000	14550	0	0	0	0
C25-PLM-4-4-03	cartesianas	-15760	-13860	-3475	3475	10000	13800	0	0	0	0
C25-PLM-X-4-salidatecho	cartesianas	-8350	8400	-31330.172	-27951	10000	14900	0	0	0	0
DDC	polares	-9500	9500	-9500	9500	-12100	14000	0	9500	0	360
